Pre-production check start.
File: C:\Work\BombJack\V8.0\Bomb Jack - All - Routed.pdsprj
Date: 17 November 2021, 09:58:27
Missing connection: 5R:12, VIDEOP4:B11
Missing connection: U64:15, VIDEOP5:B11
Missing connection: U210:15, VIDEOP2:B11
Missing connection: VIDEOP6:B11, VIDEOP3:B11
Missing connection: VIDEOH1:B12, U84:11
Missing connection: 5R:13, VIDEOP4:B12
Missing connection: U255:19, 5S:13
Missing connection: U64:11, VIDEOP5:B12
Missing connection: VIDEOP5:B12, VIDEOP2:B12
Missing connection: VIDEOP6:B12, VIDEOP3:B12
Missing connection: 5R:15, VIDEOP4:A14
Missing connection: VIDEOH1:A14, U288:6
Missing connection: U234:6, VIDEOP5:A14
Missing connection: VIDEOP1:A14, 5S:15
Missing connection: U288:6, VIDEOP5:A14
Missing connection: VIDEOP6:A14, VIDEOP3:A14
Missing connection: EXPANSIONBUSP2:A30, EXPANSIONBUSH1:A30
Missing connection: EXPANSIONBUSP4:A30, EXPANSIONBUSP5:A30
Missing connection: EXPANSIONBUSP3:A30, EXPANSIONBUSP4:A30
Missing connection: EXPANSIONBUSP5:A30, EXPANSIONBUSP2:A30
Missing connection: EXPANSIONBUSP1:A30, EXPANSIONBUSP3:A30
Missing connection: EXPANSIONBUSP6:A30, EXPANSIONBUSP3:A30
Missing connection: 7N:4, VIDEOP4:A2
Missing connection: VIDEOH1:A2, U86:6
Missing connection: U330:5, VIDEOP3:A2
Missing connection: VIDEOP1:A2, 7S:3
Missing connection: U68:6, VIDEOP5:A2
Missing connection: U259:2, VIDEOP2:A2
Missing connection: VIDEOH1:A3, U86:2
Missing connection: U330:3, VIDEOP3:A3
Missing connection: U68:2, VIDEOP5:A3
Missing connection: L5E:3, VIDEOP4:A3
Missing connection: U259:5, U68:2
Missing connection: U259:5, VIDEOP2:A3
Missing connection: VIDEOH1:B2, U86:15
Missing connection: U330:14, VIDEOP3:B2
Missing connection: U68:15, VIDEOP5:B2
Missing connection: L5E:14, VIDEOP4:B2
Missing connection: VIDEOP1:B2, L5E:14
Missing connection: U259:6, VIDEOP2:B2
Missing connection: VIDEOH1:B3, U86:11
Missing connection: U330:12, VIDEOP3:B3
Missing connection: U68:11, VIDEOP5:B3
Missing connection: L5E:12, VIDEOP4:B3
Missing connection: U259:9, VIDEOP4:B3
Missing connection: U259:9, VIDEOP2:B3
Missing connection: VIDEOH1:A5, U286:6
Missing connection: U331:5, VIDEOP3:A5
Missing connection: U259:12, U69:6
Missing connection: VIDEOP2:A5, U69:6
Missing connection: 5F:5, VIDEOP4:A5
Missing connection: U69:6, VIDEOP5:A5
Missing connection: VIDEOH1:A6, U286:2
Missing connection: U331:3, VIDEOP3:A6
Missing connection: U259:15, U69:2
Missing connection: VIDEOP2:A6, U69:2
Missing connection: 5F:3, VIDEOP4:A6
Missing connection: VIDEOP4:A6, VIDEOP5:A6
Missing connection: VIDEOH1:B5, U286:15
Missing connection: U331:14, VIDEOP3:B5
Missing connection: U259:16, U69:15
Missing connection: VIDEOP2:B5, U69:15
Missing connection: 5F:14, VIDEOP4:B5
Missing connection: VIDEOP4:B5, VIDEOP5:B5
Missing connection: VIDEOH1:B6, U286:11
Missing connection: U331:12, VIDEOP3:B6
Missing connection: U259:19, U69:11
Missing connection: VIDEOP2:B6, U69:11
Missing connection: 5F:12, VIDEOP4:B6
Missing connection: U69:11, VIDEOP5:B6
Missing connection: U109:12, U111:6
Missing connection: U139:18, U178:4
Missing connection: U265:6, U281:12
Missing connection: U311:2, PIXEL1:9
Missing connection: U277:10, U281:15
Missing connection: U311:5, PIXEL1:7
Missing connection: U278:6, U281:16
Missing connection: U311:6, PIXEL1:5
Missing connection: U278:10, U281:19
Missing connection: U311:9, PIXEL1:10
Missing connection: U279:6, U281:2
Missing connection: U311:12, PIXEL1:8
Missing connection: U279:10, U281:5
Missing connection: U311:15, PIXEL1:6
Missing connection: U280:6, U281:6
Missing connection: U311:16, PIXEL1:4
Missing connection: U280:10, U281:9
Missing connection: U311:19, PIXEL1:3
Missing connection: U256:6, U214:1
Missing connection: U214:13, VIDEOP4:A29
Missing connection: VIDEOP2:A29, VIDEOH1:A29
Missing connection: VIDEOP4:A29, VIDEOP5:A29
Missing connection: U384:5, VIDEOP3:A29
Missing connection: VIDEOP5:A29, VIDEOP2:A29
Missing connection: LAYER2:10, U282:15
Missing connection: LAYER2:8, U282:12
Missing connection: U267:11, U282:9
Missing connection: U268:5, U282:16
Missing connection: LAYER2:3, U282:19
